Key,Source,Context,English
ammo9mmBulletPrimitive,items,Ammo,Primitive 9mm Ammo
ammo9mmBulletPrimitiveDesc,items,Ammo,"Primitive bullets that can be used in Pipe weapons. Not as powerful as legit ammo but easy to make."
ammoBundle9mmBulletPrimitive,items,Ammo,Box of Primitive 9mm Ammo (100)
ammoShotgunShellPrimitive,items,Ammo,Primitive Shotgun Shell (Ammo)
ammoShotgunShellPrimitiveDesc,items,Ammo,"Primitive bullets that can be used in Pipe weapons. Not as powerful as legit ammo but easy to make."
ammoBundleShotgunShellPrimitive,items,Ammo,Box of Primitive Shotgun Shells (100)
ammo762mmBulletPrimitive,items,Ammo,Primitive 7.62mm Ammo
ammo762mmBulletPrimitiveeDesc,items,Ammo,"Primitive bullets that can be used in Pipe weapons. Not as powerful as legit ammo but easy to make."
ammoBundle762mmBulletPrimitive,items,Ammo,Box of Primitive 7.62mm Ammo (100)
resourceAnimalHideJT,items,Item,Animal Hide
resourceAnimalHideJTDesc,items,Item,This hide can be cut down into leather.
resourceStickJT,items,Item,Sticks
resourceStickJTDesc,items,Item,"Crafted from wood, sticks are useful in many survival situations."
resourceWoodLogJT,items,Item,Wood Log
resourceWoodLogJTDesc,items,Item,"Wood logs can be cut into planks."
resourceWoodPlanksJT,items,Item,Wood Plank
resourceWoodPlanksJTDesc,items,Item,"Wood Planks can be cut into sticks and are used for building."
resourceSharpStone,items,Item,Sharp Stone
resourceSharpStoneDesc,items,Item,"A very sharp stone."
resourceTallow,items,Item,Tallow
resourceTallowDesc,items,Item,"Tallow is highly flammable."
foodBearMeat,items,Food,Bear Meat
foodChicken,items,Food,Chicken
foodPork,items,Food,Pork
foodRabbit,items,Food,Rabbit
foodVenison,items,Food,Venison
foodSnake,items,Food,Snake
foodWolf,items,Food,Wolf Meat
foodBearCharred,items,Food,Charred Bear
foodChickenCharred,items,Food,Charred Chicken
foodPorkCharred,items,Food,Charred Pork
foodRabbitCharred,items,Food,Charred Rabbit
foodVenisonCharred,items,Food,Charred Venison
foodSnakeCharred,items,Food,Charred Snake
foodWolfCharred,items,Food,Charred Wolf
foodBearGrilled,items,Food,Grilled Bear
foodChickenGrilled,items,Food,Grilled Chicken
foodPorkGrilled,items,Food,Grilled Pork
foodRabbitGrilled,items,Food,Grilled Rabbit
foodVenisonGrilled,items,Food,Grilled Venison
foodSnakeGrilled,items,Food,Grilled Snake
foodWolfGrilled,items,Food,Grilled Wolf
foodBearBoiled,items,Food,Boiled Bear
foodPorkBoiled,items,Food,Boiled Pork
foodRabbitBoiled,items,Food,Boiled Rabbit
foodVenisonBoiled,items,Food,Boiled Venison
foodBearStew,items,Food,Bear Stew
foodRabbitStew,items,Food,Rabbit Stew
foodVenisonStew,items,Food,Venison Stew
foodBearGrilledSchematic,items,Food,Grilled Bear Recipe
foodChickenGrilledSchematic,items,Food,Grilled Chicken Recipe
foodPorkGrilledSchematic,items,Food,Grilled Pork Recipe
foodRabbitGrilledSchematic,items,Food,Grilled Rabbit Recipe
foodVenisonGrilledSchematic,items,Food,Grilled Venison Recipe
foodSnakeGrilledSchematic,items,Food,Grilled Snake Recipe
foodWolfGrilledSchematic,items,Food,Grilled Wolf Recipe
foodBearBoiledSchematic,items,Food,Boiled Bear Recipe
foodPorkBoiledSchematic,items,Food,Boiled Pork Recipe
foodRabbitBoiledSchematic,items,Food,Boiled Rabbit Recipe
foodVenisonBoiledSchematic,items,Food,Boiled Venison Recipe
foodBearStewSchematic,items,Food,Bear Stew Recipe
foodRabbitStewSchematic,items,Food,Rabbit Stew Recipe
foodVenisonStewSchematic,items,Food,Venison Stew Recipe
drinkCanRiverWater,items,Food,Can of Murky Water
drinkCanBoiledWater,items,Food,Boiled Water
drinkCanBoiledWaterDesc,items,Food,Boiled water is safe to drink. Probably.
drinkCanRiverWaterDesc,items,Food,Not so appealing but it will have to do.
drinkCanEmpty,items,Food,Empty Can
drinkCanEmptyDesc,items,Food,An empty can which you can scrap or fill with water.
foodRabbitOnAStick,items,Food,Rabbit KaBob
foodRabbitOnAStickDesc,items,Food,Rabbit on a stick for your pleasure.

modArmorIronPlatingDesc,items,Item,Improve your armor rating with this iron plating. Can only be installed in  heavy armor.
modArmorIronPlatingSchematic,items,Item,Iron Plating Schematic
modArmorSteelPlating,item_modifiers,mod,Steel Plating
modArmorSteelPlatingDesc,items,Item,Improve your armor rating with this steel plating. Can only be installed in  heavy armor.
modArmorSteelPlatingSchematic,items,mod,Steel Plating Schematic
modArmorMilitaryPlating,item_modifiers,Mod,Military Plating
modArmorMilitaryPlatingDesc,item_modifiers,mod,Improve your armor rating with this military grade plating. Can only be installed in light armor better than padded.
modArmorMilitaryPlatingSchematic,items,Mod,Military Plating Schematic
