Key,File,Type,UsedInMainMenu,NoTranslate,english
LearnByUse,progression,Attribute,,,"Learn By Use"
LearnByUseDesc,progression,Attribute,,,"Increase half the Mining, Scavenging and Weapons stats (eg. Damage and Stamina) by using tools and weapons, increase the other half of the stats in the Perk Tree as normal. Gain an extra Skill Point at level 50 for each Perk. Each Learn-By-Use perk level decreases the respective weapon/tool Degradation gradually up to 50%. Each point in one of the game's Perks increases the progression speed of the corrresponding Learn By Use perk."
LearnByUseName,progression,Attribute,,,"Learn By Use"
lbu_Miner69erName,progression,Perk,,,"Miner69r & MotherLode Skills"
lbu_Miner69erDesc,progression,Perk,,,"Learn by Use: [Strength] Use any axe, pick, shovel, chainsaw or auger to upgrade half the Miner69er/MotherLode skill points. Increases are applied cumulatively per Level. There are 2 StaminaLoss values shown below - the second one is for Power Attacks. Degradation rate is decreasing from 100% to 50%."
lbu_SalvageName,progression,Perk,,,"Salvage Operation Skills"
lbu_SalvageDesc,progression,Perk,,,"Learn by Use: [Perception] Use any Wrench, Ratchet or Impact Driver to upgrade half the Salvage skill points. Increases are applied cumulatively per Level. There are 2 StaminaLoss values shown below - the second one is for Power Attacks. Degradation rate is decreasing from 100% to 50%."
lbu_DeadEyeName,progression,Perk,,,"Dead Eye Skills"
lbu_DeadEyeDesc,progression,Perk,,,"Learn by Use: [Perception] Use any Rifle to upgrade half the DeadEye skill points. Increases are applied cumulatively per Level. Degradation rate is decreasing from 100% to 50%."
lbu_DemolitionName,progression,Perk,,,"Demolitions Expert Skills"
lbu_DemolitionDesc,progression,Perk,,,"Learn by Use: [Perception] Use any explosive weapons to upgrade half the Demolitions Expert skill points. Increases are applied cumulatively per Level."
lbu_SpearMasterName,progression,Perk,,,"Spearmaster Skills"
lbu_SpearMasterDesc,progression,Perk,,,"Learn by Use: [Perception] Use any Spear to upgrade half the Spearmaster skill points. Increases are applied cumulatively per Level. There are 2 StaminaLoss values shown below - the second one is for Power Attacks. Degradation rate is decreasing from 100% to 50%."
lbu_BoomstickName,progression,Perk,,,"Boomstick Skills"
lbu_BoomstickDesc,progression,Perk,,,"Learn by Use: [Strength] Use any Shotgun to upgrade half the Boomstick skill points. Increases are applied cumulatively per Level. Degradation rate is decreasing from 100% to 50%."
lbu_PummelPeteName,progression,Perk,,,"Pummel Pete Skills"
lbu_PummelPeteDesc,progression,Perk,,,"Learn by Use: [Strength] Use any Club to upgrade half the PummelPete skill points. Killing blows grant from 1 to 15 stamina over levels 1-50. There are 2 EntityDamage values shown below - the 2nd one is additional damage when target stunned. There are 2 StaminaLoss values shown below - the 2nd one is for Power Attacks. Degradation rate is decreasing from 100% to 50%."
lbu_SkullCrusherName,progression,Perk,,,"Skull Crusher Skills"
lbu_SkullCrusherDesc,progression,Perk,,,"Learn by Use: [Strength] Use any Sledgehammer to upgrade half the SkullCrusher skill points. Increases are applied cumulatively per Level. Killing blows grant from 1 to 15 stamina over levels 1-50. There are 2 StaminaLoss values shown below - the second one is for Power Attacks. Degradation rate is decreasing from 100% to 50%."
lbu_BrawlerName,progression,Perk,,,"Brawler Skills"
lbu_BrawlerDesc,progression,Perk,,,"Learn by Use: [Fortitude] Use your Fists to upgrade half the Brawler skill points. Increases are cumulative per Level. Killing blows grant 1 to 15 stamina over levels 1-50. There are 2 StaminaLoss values shown below - the second one is for Power Attacks. Degradation rate is decreasing from 100% to 50%."
lbu_MachineGunnerName,progression,Perk,,,"Machine Gunner Skills"
lbu_MachineGunnerDesc,progression,Perk,,,"Learn by Use: [Fortitude] Use any Assault Rifle or Machinegun to upgrade half the Machinegunner skill points. Increases are applied cumulatively per Level. Degradation rate is decreasing from 100% to 50%."
lbu_ArcheryName,progression,Perk,,,"Archery Skills"
lbu_ArcheryDesc,progression,Perk,,,"Learn by Use: [Agility] Use any Bow to upgrade half the Archery skill points. Increases are applied cumulatively per Level. Degradation rate is decreasing from 100% to 50%."
lbu_GunslingerName,progression,Perk,,,"Gunslinger Skills"
lbu_GunslingerDesc,progression,Perk,,,"Learn by Use: [Agility] Use any Handgun or SMG to upgrade half the Gunslinger skill points. Increases are applied cumulatively per Level. Degradation rate is decreasing from 100% to 50%."
lbu_DeepCutsName,progression,Perk,,,"Deep Cuts Skills"
lbu_DeepCutsDesc,progression,Perk,,,"Learn by Use: [Agility] Use any Bladed Weapon to upgrade half the DeepCuts skill points. Increases are applied cumulatively per Level. Killing blows grant from 1 to 15 stamina over levels 1-50. There are 2 StaminaLoss values shown below - the second one is for Power Attacks. Degradation rate is decreasing from 100% to 50%."
lbu_HiddenStrikeName,progression,Perk,,,"Hidden Strike Skills"
lbu_HiddenStrikeDesc,progression,Perk,,,"Learn by Use: [Agility] While sneaking, kill or wound any enemies when they are unaware to upgrade half the Hidden Strike skill points. Increases are applied cumulatively per Level. Applies to the same weapons as the Hidden Strike Perk"
lbu_ElectrocutionerName,progression,Perk,,,"Electrocutioner Skills"
lbu_ElectrocutionerDesc,progression,Perk,,,"Learn by Use: [Intellect] Use any Baton to upgrade half the Electrocutioner skill points. Increases are cumulative per Level. Killing blows grant 1 to 15 stamina over levels 1-50. There are 2 StaminaLoss values shown below - the second one is for Power Attacks. Degradation rate is decreasing from 100% to 50%."
lbu_RoboticsName,progression,Perk,,,"Robotics Skills"
lbu_RoboticsDesc,progression,Perk,,,"Learn by Use: [Intellect] Use any Robotic Weapon to upgrade half the Robotics skill points. There are 2 RoundsPerMinute values shown below. The first is melee (holding the Turret) and the second is ranged (Turret placed). Degradation rate is decreasing from 100% to 50%."
perkMiner69rDesc,progression,perk Str,,,"Maximize your mining efforts by increasing tool damage to bring down rocks and trees faster. \nCaters for half of the available increases for damage, stamina etc - increase the other half by Learn-By-Use."
perkMiner69rRank1LongDesc,progression,perk Str,,,"Everyone has to start somewhere. Increase tool damage by 5% and block damage by 15% with any axe, pick, shovel, chainsaw or auger. Stamina costs are reduced by 4% and 8% for power attacks. Find more tools and parts in loot."
perkMiner69rRank2LongDesc,progression,perk Str,,,"You're still a little green, but you aren't fetching the Muckmen blackstrap anymore. Increase tool damage by 10% and block damage by 30% with any axe, pick, shovel, chainsaw or auger. Stamina costs are reduced by 7% and 15% for power attacks. Find more tools and parts in loot."
perkMiner69rRank3LongDesc,progression,perk Str,,,"You're now a professional miner, or what they called “Muckmen”, back in the day. Increase tool damage by 15% and block damage by 45% with any axe, pick, shovel, chainsaw or auger. Stamina costs are reduced by 10% and 20% for power attacks. Find more tools and parts in loot."
perkMiner69rRank4LongDesc,progression,perk Str,,,"You can crack rock with the best of them now. Increase tool damage by 20% and block damage by 60% with any axe, pick, shovel, chainsaw or auger. Stamina costs are reduced by 13% and 25% for power attacks. Find more tools and parts in loot."
perkMiner69rRank5LongDesc,progression,perk Str,,,"You're the legendary Miner 69'er and can find the juicy center of any rock faster than a horny bullfrog. Increase damage by 25% and block damage by 75% with any axe, pick, shovel, chainsaw or auger. Find more tools and parts in loot."
perkMotherLodeDesc,progression,perk Str,,,"Harvest more resources and bring home the mother lode.\nCaters for half of the available increases for damage, stamina etc - increase the other half by Learn-By-Use."
perkMotherLodeRank1LongDesc,progression,perk Str,,,"You've found your first small vein and are envy of all the Johnny Newcomes.\nHarvest 10% more from ore, stone, terrain blocks and trees with any axe, pick, shovel, chainsaw or auger."
perkMotherLodeRank2LongDesc,progression,perk Str,,,"Finding more ore is starting to become second nature to you. Harvest 20% more from ore, stone, terrain blocks and trees with any axe, pick, shovel, chainsaw or auger."
perkMotherLodeRank3LongDesc,progression,perk Str,,,"You've hit your stride and can probably make a decent living at this. Harvest 30% more from ore, stone, terrain blocks and trees with any axe, pick, shovel, chainsaw or auger."
perkMotherLodeRank4LongDesc,progression,perk Str,,,"You are going to need an Irish baby buggy to carry all this ore. Harvest 40% more from ore, stone, terrain blocks and trees with any axe, pick, shovel, chainsaw or auger."
perkMotherLodeRank5LongDesc,progression,perk Str,,,"Mining is second nature to you and you find the mother lode everywhere you go. Harvest 50% more from ore, stone, terrain blocks and trees with any axe, pick, shovel, chainsaw or auger."
perkPummelPeteDesc,progression,perk Str,,,"Specialize in knocking your foes senseless with clubs and bats.\nCaters for half of the available increases for damage, stamina etc - increase the other half by Learn-By-Use."
perkPummelPeteRank1LongDesc,progression,perk Str,,,"You might not pack a punch, but as a roughneck you can swing a club! Clubs deal 5% more damage, attacks do 20% more damage to stunned enemies, and power attacks have a 60% chance to knock foes down. Stamina reduced by 4% and power attacks by 8%. Find more clubs and parts in loot."
perkPummelPeteRank2LongDesc,progression,perk Str,,,"You're making a name for yourself as a dangerous thug. Clubs deal 10% more damage, attacks do 40% more damage to stunned enemies, and power attacks have a 70% chance to knock foes down. Stamina reduced by 7% and power attacks by 15%. Find more clubs and parts in loot."
perkPummelPeteRank3LongDesc,progression,perk Str,,,"You hit hard enough to be in the big leagues now. Clubs deal 15% more damage, attacks do 60% more damage to stunned enemies, and power attacks have a 80% chance to knock foes down. Stamina reduced by 10% and power attacks by 20%. Killing blows grant 5 stamina. Landing 5 successive hits in a short time causes the last blow to do 100% extra damage. Find more clubs and parts in loot."
perkPummelPeteRank4LongDesc,progression,perk Str,,,"When you said stay down, you meant it. Clubs deal 20% more damage, attacks do 80% more damage to stunned enemies, and power attacks have a 90% chance to knock foes down. Stamina reduced by 13% and power attacks by 25%. Killing blows grant 10 stamina. 4 successive hits in a short time causes the last blow to do 100% extra damage. Find more clubs and parts in loot."
perkPummelPeteRank5LongDesc,progression,perk Str,,,"Pummel Pete once took on 50 zombies with just a club and he would be proud of you. Clubs deal 25% more damage, attacks do 100% more damage to stunned enemies, and power attacks have a 100% chance to knock foes back down. Killing blows grant 15 stamina. 3 successive hits in a short time causes the last blow to do 100% extra damage. Find more clubs and parts in loot."
perkSalvageOperationsDesc,progression,perk Per,,,"Waste not, want not! Salvage items for more resources with a wrench, ratchet or impact driver.\nCaters for half of the available increases for damage, stamina etc - increase the other half by Learn-By-Use."
perkSalvageOperationsRank1LongDesc,progression,perk Per,,,"Who knows what useful items can be found when tearing things apart? Salvage tools deal 5% more damage, harvest 10% faster, and gain up to 10% more resources with a wrench, ratchet or impact driver. Stamina costs are reduced by 4% and 8% for power attacks. Find more salvage tools and parts in loot."
perkSalvageOperationsRank2LongDesc,progression,perk Per,,,"Most people call you “Scavver”, but at least it's an honest living. Salvage tools deal 10% more damage, harvest 20% faster, and gain up to 20% more resources with a wrench, ratchet or impact driver. Stamina costs are reduced by 8% and 15% for power attacks. Find more salvage tools and parts in loot."
perkSalvageOperationsRank3LongDesc,progression,perk Per,,,"You have a knack for salvaging more useful parts than the average scrapper. Salvage tools deal 15% more damage, harvest 30% faster, and gain up to 30% more resources with a wrench, ratchet or impact driver. Stamina costs are reduced by 10% and 20% for power attacks. Find more salvage tools and parts in loot."
perkSalvageOperationsRank4LongDesc,progression,perk Per,,,"Your ability to gather salvaged parts is remarkable. Salvage tools deal 20% more damage, harvest 30% faster, and gain up to 40% more resources with a wrench, ratchet or impact driver. Stamina costs are reduced by 13% and 15% for power attacks. Find more salvage tools and parts in loot."
perkSalvageOperationsRank5LongDesc,progression,perk Per,,,"You're king of the junk dealers and envy of the grease monkeys of the apocalypse. Salvage tools deal 25% more damage, harvest 50% faster, and gain up to 50% more resources with a wrench, ratchet or impact driver. Find more salvage tools and parts in loot."
perkDeadEyeDesc,progression,perk Per,,,"Specialize in taking keen aim with rifles and wasting your target with an expertly-placed bullet. One shot, one kill.\nCaters for half of the available increases for damage, stamina etc - increase the other half by Learn-By-Use."
